role,participantCode,score,reasons,warnings,distanceToPatientMeters,nearestAedSiteId,distanceToAedMeters,aedToPatientMeters
GUIDE,R003-GUIDE,25.0,距离患者约 55 米；适合现场通道协调和救护车接驳；熟悉场地路线,,54.84982411885389,beta-aed-2,9.543461688327588,64.3482574614877
PRIME,R004-PRIME,34.0,距离患者约 11 米；具备医护或专业急救身份；画像显示掌握 CPR/AED 急救技能,,10.878465730137206,beta-aed-1,35.237971686026725,26.684587690751123
RUNNER,R002-RUNNER,30.0,距离患者约 28 米；距离最近 AED 点约 15 米；体能和移动能力适合 AED 取送,,27.5179669606645,beta-aed-1,14.912040182637217,26.684587690751123
