轮次目录,轮次编号,场景标识,场景名称,证据包文件,事件编号,事件阶段,分派来源,触发到分派完成秒数,触发到核心施救响应秒数,触发到CPR开始秒数,触发到AED取到秒数,触发到AED送达秒数,触发到救护接管秒数,AED保障路线距离米,质量等级,质量分,质量提示总数,严重问题数,警告问题数,提示项数
第一轮,R001,校园标准交接流程,校园标准交接流程,第一轮证据包.zip,64902970-d038-4730-8a89-de69a310b7cd,已归档,规则备用分派,5,18,18,42,78,126,41.6,可用于低成本预实验汇总,97,1,0,0,1
第二轮,R002,AED取送较快流程,AED 取送链路较快流程,第二轮证据包.zip,1336423b-d296-46a9-a3f9-9f0a7fa16e34,已归档,规则备用分派,4,13,13,31,63,116,41.6,可用于低成本预实验汇总,97,1,0,0,1
第三轮,R003,救护车较早接近现场流程,救护车较早接近现场流程,第三轮证据包.zip,b0643d89-24cc-49bd-9807-bc742be19a2e,已归档,规则备用分派,5,16,16,37,98,83,41.6,可用于低成本预实验汇总,97,1,0,0,1
第四轮,R004,现场协同稍慢流程,现场协同稍慢流程,第四轮证据包.zip,0a4df7a4-d506-420e-975f-f936735222c2,已归档,规则备用分派,6,27,27,55,94,146,41.6,可用于低成本预实验汇总,97,1,0,0,1
第五轮,R005,含AED分析与除颤确认流程,含 AED 分析与除颤确认流程,第五轮证据包.zip,11a8d320-52b6-422e-b673-ce016679008d,已归档,规则备用分派,5,20,20,40,82,131,41.6,可用于低成本预实验汇总,97,1,0,0,1
